index_character,index_world,name,poster,hero,url,group,Unnamed: 8,url_info,description,index
1,0,Создать,https://github.com/yupest/guess_who/blob/main/data/add.jpg?raw=true,,https://forms.gle/ezzDeRL6WM3gbXTr7,Все,,,,1
1,0,Оценить,https://github.com/yupest/guess_who/blob/main/data/rating.jpg?raw=true,,https://forms.gle/kx9hjRVi6KT9TyFg7,Все,,,,2
1,0,Помочь проекту,https://github.com/yupest/guess_who/blob/main/data/money.jpg?raw=true,,payment.html,Все,,,,3
1,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,LARA CROFT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LARA%20CROFT.jpg,Игры,,,,4
2,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SUMMITSEEKER EVIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SUMMITSEEKER%20EVIE.jpg,Игры,,,,5
3,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,HOPE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HOPE.jpg,Игры,,,,6
4,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,JOHN WICK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/JOHN%20WICK.jpg,Игры,,,,7
5,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SKULL TROOPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SKULL%20TROOPER.jpg,Игры,,,,8
6,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,LOVELY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LOVELY.jpg,Игры,,,,9
7,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,TRAVIS SCOTT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/TRAVIS%20SCOTT.jpg,Игры,,,,10
8,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,BLACK KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BLACK%20KNIGHT.jpg,Игры,,,,11
9,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MICHELANGELO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MICHELANGELO.jpg,Игры,,,,12
10,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,NOG OPS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/NOG%20OPS.jpg,Игры,,,,13
11,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RED KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RED%20KNIGHT.jpg,Игры,,,,14
12,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MEOWSCLES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MEOWSCLES.jpg,Игры,,,,15
13,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,CHUN-LI,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CHUN-LI.jpg,Игры,,,,16
14,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RENEGADE RAIDER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RENEGADE%20RAIDER.jpg,Игры,,,,17
15,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,DRIFT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DRIFT.jpg,Игры,,,,18
16,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SPECTRA KNIGHT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPECTRA%20KNIGHT.jpg,Игры,,,,19
17,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,GHOUL TROOPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GHOUL%20TROOPER.jpg,Игры,,,,20
18,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RAPHAEL,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAPHAEL.jpg,Игры,,,,21
19,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,HANGTIME,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HANGTIME.jpg,Игры,,,,22
20,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,FISHSTICK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/FISHSTICK.jpg,Игры,,,,23
21,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RAVEN TEAM LEADER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAVEN%20TEAM%20LEADER.jpg,Игры,,,,24
22,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MICHAEL MYERS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MICHAEL%20MYERS.jpg,Игры,,,,25
23,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,OMEGA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/OMEGA.jpg,Игры,,,,26
24,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,WINTERFEST BUSHRANGER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/WINTERFEST%20BUSHRANGER.jpg,Игры,,,,27
25,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SOLID SNAKE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SOLID%20SNAKE.jpg,Игры,,,,28
26,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,LEONARDO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LEONARDO.jpg,Игры,,,,29
27,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,IKONIK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/IKONIK.jpg,Игры,,,,30
28,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,PEELY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PEELY.jpg,Игры,,,,31
29,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,DONATELLO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DONATELLO.jpg,Игры,,,,32
30,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,JACK SKELLINGTON,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/JACK%20SKELLINGTON.jpg,Игры,,,,33
31,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MOGUL MASTER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MOGUL%20MASTER.jpg,Игры,,,,34
32,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,ERA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ERA.jpg,Игры,,,,35
33,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,BLACK WIDOW OUTFIT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BLACK%20WIDOW%20OUTFIT.jpg,Игры,,,,36
34,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SHADOW MIDAS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SHADOW%20MIDAS.jpg,Игры,,,,37
35,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SPIDER-GWEN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPIDER-GWEN.jpg,Игры,,,,38
36,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,PSYCHO BANDIT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/PSYCHO%20BANDIT.jpg,Игры,,,,39
37,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,REVERIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/REVERIE.jpg,Игры,,,,40
38,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SPIDER-MAN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SPIDER-MAN.jpg,Игры,,,,41
39,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,EXPLORER EMILIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/EXPLORER%20EMILIE.jpg,Игры,,,,42
40,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,GUNSLINGER CALAMITY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GUNSLINGER%20CALAMITY.jpg,Игры,,,,43
41,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MIDAS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MIDAS.jpg,Игры,,,,44
42,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,VALERIA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/VALERIA.jpg,Игры,,,,45
43,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,VENGEANCE JONES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/VENGEANCE%20JONES.jpg,Игры,,,,46
44,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,WILD CARD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/WILD%20CARD.jpg,Игры,,,,47
45,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RAVEN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RAVEN.jpg,Игры,,,,48
46,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,CHAOS AGENT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CHAOS%20AGENT.jpg,Игры,,,,49
47,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,GALAXY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GALAXY.jpg,Игры,,,,50
48,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,HARLEY QUINN,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/HARLEY%20QUINN.jpg,Игры,,,,51
49,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,CAPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CAPER.jpg,Игры,,,,52
50,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MERRY MARAUDER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MERRY%20MARAUDER.jpg,Игры,,,,53
51,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MASTER CHIEF,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MASTER%20CHIEF.jpg,Игры,,,,54
52,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RENEGADE LYNX,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RENEGADE%20LYNX.jpg,Игры,,,,55
53,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,SLIM SHADY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/SLIM%20SHADY.jpg,Игры,,,,56
54,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,CALAMITY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CALAMITY.jpg,Игры,,,,57
55,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,THE REAPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/THE%20REAPER.jpg,Игры,,,,58
56,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,AGENT PEELY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/AGENT%20PEELY.jpg,Игры,,,,59
57,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,POLO PRODIGY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/POLO%20PRODIGY.jpg,Игры,,,,60
58,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,THE ICE KING,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/THE%20ICE%20KING.jpg,Игры,,,,61
59,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,KRATOS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/KRATOS.jpg,Игры,,,,62
60,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,ELITE AGENT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ELITE%20AGENT.jpg,Игры,,,,63
61,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,KIT,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/KIT.jpg,Игры,,,,64
62,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,BRITE BOMBER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BRITE%20BOMBER.jpg,Игры,,,,65
63,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MARSHMELLO,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MARSHMELLO.jpg,Игры,,,,66
64,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MIDSUMMER MIDAS,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MIDSUMMER%20MIDAS.jpg,Игры,,,,67
65,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,DEADPOOL,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DEADPOOL.jpg,Игры,,,,68
66,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,AERIAL ASSAULT TROOPER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/AERIAL%20ASSAULT%20TROOPER.jpg,Игры,,,,69
67,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,LYNX,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/LYNX.jpg,Игры,,,,70
68,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,ASTRO JACK,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/ASTRO%20JACK.jpg,Игры,,,,71
69,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,GALAXIA,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/GALAXIA.jpg,Игры,,,,72
70,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,DARTH VADER,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DARTH%20VADER.jpg,Игры,,,,73
71,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,BEACH JULES,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/BEACH%20JULES.jpg,Игры,,,,74
72,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,MARIGOLD,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/MARIGOLD.jpg,Игры,,,,75
73,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,EVIE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/EVIE.jpg,Игры,,,,76
74,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,DUMMY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/DUMMY.jpg,Игры,,,,77
75,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,CHARLOTTE,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/CHARLOTTE.jpg,Игры,,,,78
76,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,THE FOUNDATION,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/THE%20FOUNDATION.jpg,Игры,,,,79
77,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,RUBY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/RUBY.jpg,Игры,,,,80
78,1,Fortnite,https://i.pinimg.com/564x/de/15/7c/de157c644e3be01064aeb8110eca6afb.jpg,STRAY,https://raw.githubusercontent.com/yupest/guess_who/main/data/Fortnite/STRAY.jpg,Игры,,,,81
