index_character,hero,url,index,index_world
1,,https://forms.gle/ezzDeRL6WM3gbXTr7,1,0
1,,https://forms.gle/kx9hjRVi6KT9TyFg7,2,1
1,,payment.html,3,2
18,Лару,https://i.pinimg.com/originals/cd/06/1e/cd061efa30e45e5b742c9818d4e73a53.jpg,2206,3
19,Май Зенин,https://i.pinimg.com/originals/bd/25/5f/bd255f3a91f85f7542a00e9921394c00.jpg,2207,3
20,Маки Зенин,https://i.pinimg.com/736x/96/da/ab/96daab4b5ab0c26073ef0b1454d773bc.jpg,2208,3
21,Масамичи Яга,https://i.pinimg.com/originals/0e/25/d6/0e25d6b195cdb73357a040eb2a5eea81.jpg,2209,3
22,Махито,https://i.pinimg.com/736x/39/5c/06/395c06772921f3d4aab4146f5ec71f49.jpg,2210,3
23,Мегуми Фушигуро,https://i.pinimg.com/736x/09/a5/84/09a5842f99a12f432bead0ab52ec32a0.jpg,2211,3
24,Мимико Хасаба,https://i.pinimg.com/originals/c4/39/06/c43906b6ee96fd8d2fe80ffdaeb2aa89.jpg,2212,3
25,Мисато Курой,https://i.pinimg.com/originals/68/1d/bd/681dbd85907f65a9f888d104b6ba1376.jpg,2213,3
26,Момо Нисимия,https://i.pinimg.com/736x/a2/60/56/a260562ee328f981d2fc2956913c11b6.jpg,2214,3
27,Мэй Мэй,https://i.pinimg.com/1200x/cc/c2/8c/ccc28c59fdff2c8dd242aded32a7b868.jpg,2215,3
28,Наобито Зенин,https://i.pinimg.com/736x/d3/12/67/d312673c5d9f9f846a236f7df54c3f3d.jpg,2216,3
29,Наоя Зенин,https://i.pinimg.com/736x/4c/09/c0/4c09c030e80017f32fa5ce6ea333d3bf.jpg,2217,3
17,Кэнто Нанами,https://i.pinimg.com/originals/c3/7b/b9/c37bb9586c8944cc6325847e72556100.jpg,2205,3
16,Кэндзяку,https://i.pinimg.com/736x/00/31/32/003132cee733195bcb9dff2d5a18f11c.jpg,2204,3
15,Кумия Джузо,https://i.pinimg.com/originals/6c/6f/75/6c6f755adc7801e8bc95a0ff34a85888.jpg,2203,3
14,Кокити Мута,https://i.pinimg.com/736x/e7/79/3d/e7793d7586c4bf8d24497b0b1642f46f.jpg,2202,3
13,Кирара Хоси,https://i.pinimg.com/originals/5d/c4/5b/5dc45be3639e4341ad40cf75a0f94ba4.jpg,2201,3
12,Кинджи Хакари,https://i.pinimg.com/originals/3a/33/48/3a3348ea481caab5dd2c039b3b610319.jpg,2200,3
11,Киётака Идзити,https://i.pinimg.com/1200x/06/47/99/0647992d4c0021b6b15f5852f76906ee.jpg,2199,3
10,Кечизу,https://i.pinimg.com/1200x/10/d1/65/10d165d29fdbe4e65cf9b6484e5f7826.jpg,2198,3
9,Дзюнпей Ёшино,https://i.pinimg.com/originals/18/3e/f8/183ef80b4559980a8ca19e282b0cac49.jpg,2197,3
8,Дзёго,https://i.pinimg.com/originals/da/f0/82/daf082114eb42fa76a8c76c9efc94d21.jpg,2196,3
7,Дедушка Итадори,https://i.pinimg.com/originals/2f/36/e9/2f36e93fb057d384be8a0299cc0b804a.jpg,2195,3
6,Дагон,https://i.pinimg.com/originals/19/71/21/197121766683f9b296b50cb6d9b94022.jpg,2194,3
5,Ацуя Кусакабе,https://i.pinimg.com/originals/2d/9a/1d/2d9a1d419668f3a63f2c215e21ec7531.jpg,2193,3
4,Арата Нитта,https://i.pinimg.com/originals/6c/64/36/6c64362f8478f3c9f5f5332d26bbc043.jpg,2192,3
3,Аой Тодо,https://i.pinimg.com/736x/ec/e8/1d/ece81d79083284aea580157cb01b207f.jpg,2192,3
2,Акари Нитта,https://i.pinimg.com/originals/71/ed/9e/71ed9ebaaac2ddbfae75dc14ecba1bc5.jpg,2192,3
